FILEPATH,FILENAME,CFC_CAPTURE_ID,TEC_READING(CELCIUS)
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/20250204_FILTPOS_50_INTTIME_20/cfc_capture_1719352654363.tiff,cfc_capture_1719352654363_tiff,1719352654363,23
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/CLOSE_UP/20250207_FILTPOS_130_INTTIME_02p0/cfc_capture_1719352655001.tiff,cfc_capture_1719352655001_tiff,1719352655001,31
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/CLOSE_UP/20250207_FILTPOS_090_INTTIME_01p5/cfc_capture_1719352657137.tiff,cfc_capture_1719352657137_tiff,1719352657137,34
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/CLOSE_UP/20250207_FILTPOS_130_INTTIME_02p0/cfc_capture_1719352658254.tiff,cfc_capture_1719352658254_tiff,1719352658254,27
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/CLOSE_UP/20250207_FILTPOS_090_INTTIME_01p5/cfc_capture_1719352660435.tiff,cfc_capture_1719352660435_tiff,1719352660435,30
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/CLOSE_UP/20250207_FILTPOS_130_INTTIME_02p0/cfc_capture_1719352661537.tiff,cfc_capture_1719352661537_tiff,1719352661537,23
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/202502_SWIR_FF_PRETEST_CROSS_TRACK/20250206_FILTPOS_050_INTTIME_02p0/cfc_capture_1719352662047.tiff,cfc_capture_1719352662047_tiff,1719352662047,23
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/202502_SWIR_FF_PRETEST_CROSS_TRACK/20250206_FILTPOS_050_INTTIME_02p0_DEG_0/cfc_capture_1719352662047.tiff,cfc_capture_1719352662047_tiff,1719352662047,23
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/CLOSE_UP/20250207_FILTPOS_090_INTTIME_01p5/cfc_capture_1719352663687.tiff,cfc_capture_1719352663687_tiff,1719352663687,26
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/202502_SWIR_FF_PRETEST_CROSS_TRACK/20250206_FILTPOS_050_INTTIME_02p0_DEG_0/cfc_capture_1719352665313.tiff,cfc_capture_1719352665313_tiff,1719352665313,23
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/202502_SWIR_FF_PRETEST_CROSS_TRACK/20250206_FILTPOS_050_INTTIME_02p0/cfc_capture_1719352665313.tiff,cfc_capture_1719352665313_tiff,1719352665313,23
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_090_INTTIME_01p5/DEG_NEG_50/cfc_capture_1719352665741.tiff,cfc_capture_1719352665741_tiff,1719352665741,44
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/202502_SWIR_FF_PRETEST_CROSS_TRACK/20250206_FILTPOS_050_INTTIME_02p0_DEG_0/cfc_capture_1719352668577.tiff,cfc_capture_1719352668577_tiff,1719352668577,23
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/202502_SWIR_FF_PRETEST_CROSS_TRACK/20250206_FILTPOS_050_INTTIME_02p0/cfc_capture_1719352668577.tiff,cfc_capture_1719352668577_tiff,1719352668577,23
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_090_INTTIME_01p5/DEG_NEG_50/cfc_capture_1719352669006.tiff,cfc_capture_1719352669006_tiff,1719352669006,44
